cluster_id,pixel_count,pixel_fraction,mean_ndvi,mean_ndwi,mean_mndwi,mean_ndbi,mean_pri,mean_brightness,dominant_class,color,intra_cluster_std,silhouette_full
0,1018353,0.2950592391211442,-0.2393713742494583,0.25723016262054443,0.7519302368164062,-0.402256578207016,0.013286533765494823,0.015884127467870712,открытая вода,#2166ac,0.0113752456381917,0.35100009154215067
1,651465,0.18875651882407787,0.8719581961631775,0.06889715045690536,-0.5315933227539062,-0.4398173391819,-0.0012418214464560151,0.26162251830101013,густая растительность,#006d2c,0.02980724535882473,0.35100009154215067
2,105829,0.03066306498527678,0.5977346301078796,0.017373165115714073,-0.3430577218532562,-0.2515566051006317,-0.018168652430176735,0.14984233677387238,густая растительность,#1a9850,0.04659112170338631,0.35100009154215067
3,267390,0.07747400945310981,0.842765212059021,0.05880860239267349,-0.46322160959243774,-0.4512650668621063,0.013778687454760075,0.1637433022260666,густая растительность,#006d2c,0.0191300418227911,0.35100009154215067
4,347915,0.10080545270533191,0.17781828343868256,-0.05836154520511627,-0.28410211205482483,0.0566895492374897,-0.051538530737161636,0.17537857592105865,застройка / искусств. покрытия,#d73027,0.06130969151854515,0.35100009154215067
5,517862,0.1500461703257652,0.7961121797561646,-0.0034538493491709232,-0.5325493216514587,-0.2857494056224823,-0.018205568194389343,0.2759977877140045,густая растительность,#1a9850,0.03414484113454819,0.35100009154215067
6,178834,0.05181565132030906,0.4834707975387573,-0.05264567583799362,-0.4264979064464569,-0.07131251692771912,-0.04688669741153717,0.24653153121471405,умеренная растительность,#a6d96a,0.07918984442949295,0.35100009154215067
7,363703,0.10537989326498522,0.4848536252975464,0.04843844845890999,-0.17980672419071198,-0.28470680117607117,0.015536450780928135,0.0820259153842926,умеренная растительность,#a6d96a,0.02757282555103302,0.35100009154215067
