cluster_id,pixel_count,pixel_fraction,mean_ndvi,mean_ndwi,mean_mndwi,mean_ndbi,mean_pri,mean_brightness,dominant_class,color,intra_cluster_std,silhouette_full
0,217883,0.06312977150107306,0.23332272469997406,-0.06966836005449295,-0.33384349942207336,0.0529431588947773,-0.057039786130189896,0.21843023598194122,застройка / искусств. покрытия,#e41a1c,0.08844567090272903,0.5289230105486311
1,1345808,0.38993657845869634,-0.0351654551923275,0.20770561695098877,0.5192604660987854,-0.3685617744922638,0.0158902108669281,0.03235301002860069,открытая вода,#377eb8,0.028255732730031013,0.5289230105486311
2,800915,0.23205840263711225,0.8365168571472168,0.029228318482637405,-0.5368525981903076,-0.3518199622631073,-0.010840225033462048,0.28122732043266296,густая растительность,#4daf4a,0.035379547625780106,0.5289230105486311
3,468201,0.13565731216558385,0.8623379468917847,0.06405998021364212,-0.5100654363632202,-0.4494469165802002,0.002596958540380001,0.21707139909267426,густая растительность,#984ea3,0.02187657169997692,0.5289230105486311
4,133987,0.03882160927706281,0.8315191864967346,0.060438524931669235,-0.44210144877433777,-0.45136845111846924,0.017772600054740906,0.1451680213212967,густая растительность,#ff7f00,0.049676910042762756,0.5289230105486311
5,212440,0.061552707910612396,0.57399982213974,-0.044803787022829056,-0.4603039622306824,-0.121457539498806,-0.04141309857368469,0.24666714668273926,густая растительность,#ffff33,0.06299082189798355,0.5289230105486311
6,134257,0.03889983951212148,0.1734313815832138,-0.0514848493039608,-0.26882946491241455,0.04603555426001549,-0.04618086665868759,0.1506483256816864,разреженная растительность,#a65628,0.027542956173419952,0.5289230105486311
7,137860,0.03994377853773783,0.19273915886878967,-0.0023259108420461416,-0.18174169957637787,-0.04697468504309654,-0.03220551460981369,0.101826973259449,разреженная растительность,#f781bf,0.02113083004951477,0.5289230105486311
